configuration,query_type,ndcg_at_10,mrr_at_10,precision_at_10,strict_mrr_at_10_rel2,strict_precision_at_10_rel2
bm25_minilm,attribute,0.6853922564661077,0.95625,0.675,0.7895833333333333,0.505
bm25_minilm,entity_lexical,0.7284249728870592,0.9041666666666666,0.515,0.8291666666666666,0.44000000000000006
bm25_minilm,semantic_recommendation,0.7171819476466057,0.9625,0.82,0.8391666666666666,0.5900000000000001
bm25_minilm_qwen3,attribute,0.7217616368474202,0.9666666666666666,0.71,0.8125,0.5549999999999999
bm25_minilm_qwen3,entity_lexical,0.7347138237568697,0.9,0.53,0.825,0.44000000000000006
bm25_minilm_qwen3,semantic_recommendation,0.7584402177838803,0.975,0.8400000000000001,0.8916666666666666,0.65
minilm,attribute,0.6650560613911154,0.9238095238095237,0.6599999999999999,0.7960317460317461,0.5
minilm,entity_lexical,0.7385112255551254,0.9041666666666666,0.54,0.8291666666666666,0.445
minilm,semantic_recommendation,0.7369088877765241,0.9416666666666667,0.8300000000000001,0.85,0.625
minilm_qwen3,attribute,0.7131790394488574,0.9333333333333333,0.72,0.8166666666666667,0.5650000000000001
minilm_qwen3,entity_lexical,0.7383440135711358,0.9,0.54,0.825,0.445
minilm_qwen3,semantic_recommendation,0.760976261348288,0.975,0.835,0.8916666666666666,0.6599999999999999
qwen3,attribute,0.7061283325232262,0.93,0.7150000000000001,0.8,0.5599999999999999
qwen3,entity_lexical,0.7375760093242045,0.9083333333333334,0.545,0.8333333333333334,0.45
qwen3,semantic_recommendation,0.7602480541262631,1.0,0.8300000000000001,0.9166666666666666,0.65
