system,query_type,ndcg_at_10,mrr_at_10,precision_at_10,hit_rate_at_10,strict_mrr_at_10_rel2,strict_precision_at_10_rel2
bge_reranker_v2_m3,attribute,0.6853922564661077,0.95625,0.675,1.0,0.7895833333333333,0.505
bge_reranker_v2_m3,entity_lexical,0.7284249728870592,0.9041666666666666,0.515,1.0,0.8291666666666666,0.44000000000000006
bge_reranker_v2_m3,semantic_recommendation,0.7171819476466057,0.9625,0.82,1.0,0.8391666666666666,0.5900000000000001
bm25,attribute,0.42848242371243817,0.7416666666666667,0.44000000000000006,0.95,0.6263888888888889,0.29
bm25,entity_lexical,0.46813992607220556,0.7211111111111111,0.4,1.0,0.5102777777777778,0.30500000000000005
bm25,semantic_recommendation,0.43622616644617535,0.8013888888888889,0.545,1.0,0.5272222222222223,0.365
minilm_dense,attribute,0.619646877383006,0.915,0.65,1.0,0.7108333333333333,0.475
minilm_dense,entity_lexical,0.6523708825512723,0.8583333333333334,0.48,1.0,0.75,0.39
minilm_dense,semantic_recommendation,0.6376212981971066,0.925,0.78,1.0,0.6804761904761905,0.53
qwen3_embedding_0.6b,attribute,0.6417569958676971,0.9291666666666666,0.635,1.0,0.7958333333333333,0.45499999999999996
qwen3_embedding_0.6b,entity_lexical,0.6705472298223837,0.885,0.48,0.95,0.835,0.4
qwen3_embedding_0.6b,semantic_recommendation,0.669382049715076,0.9166666666666666,0.805,1.0,0.7854166666666667,0.55
