query_id,query_type,configuration,candidate_count,candidate_rel0,candidate_rel1,candidate_rel2,candidate_relevant_ge_1
q001,semantic_recommendation,minilm,25,6,10,9,19
q001,semantic_recommendation,qwen3,25,5,10,10,20
q001,semantic_recommendation,bm25_minilm,44,14,20,10,30
q001,semantic_recommendation,minilm_qwen3,38,10,14,14,28
q001,semantic_recommendation,bm25_minilm_qwen3,53,16,22,15,37
q002,attribute,minilm,25,8,10,7,17
q002,attribute,qwen3,25,5,12,8,20
q002,attribute,bm25_minilm,43,20,13,10,23
q002,attribute,minilm_qwen3,39,12,16,11,27
q002,attribute,bm25_minilm_qwen3,53,23,18,12,30
q003,entity_lexical,minilm,25,8,4,13,17
q003,entity_lexical,qwen3,25,5,8,12,20
q003,entity_lexical,bm25_minilm,45,27,5,13,18
q003,entity_lexical,minilm_qwen3,33,9,8,16,24
q003,entity_lexical,bm25_minilm_qwen3,53,28,9,16,25
q004,semantic_recommendation,minilm,25,16,5,4,9
q004,semantic_recommendation,qwen3,25,8,11,6,17
q004,semantic_recommendation,bm25_minilm,45,33,6,6,12
q004,semantic_recommendation,minilm_qwen3,40,22,11,7,18
q004,semantic_recommendation,bm25_minilm_qwen3,56,37,12,7,19
q005,attribute,minilm,25,14,7,4,11
q005,attribute,qwen3,25,14,8,3,11
q005,attribute,bm25_minilm,42,31,7,4,11
q005,attribute,minilm_qwen3,32,20,8,4,12
q005,attribute,bm25_minilm_qwen3,48,36,8,4,12
q006,entity_lexical,minilm,25,19,3,3,6
q006,entity_lexical,qwen3,25,19,2,4,6
q006,entity_lexical,bm25_minilm,44,38,3,3,6
q006,entity_lexical,minilm_qwen3,37,30,3,4,7
q006,entity_lexical,bm25_minilm_qwen3,54,47,3,4,7
q007,semantic_recommendation,minilm,25,8,3,14,17
q007,semantic_recommendation,qwen3,25,8,4,13,17
q007,semantic_recommendation,bm25_minilm,45,21,4,20,24
q007,semantic_recommendation,minilm_qwen3,37,12,5,20,25
q007,semantic_recommendation,bm25_minilm_qwen3,55,25,6,24,30
q008,attribute,minilm,25,0,0,25,25
q008,attribute,qwen3,25,1,0,24,24
q008,attribute,bm25_minilm,48,6,4,38,42
q008,attribute,minilm_qwen3,37,1,0,36,36
q008,attribute,bm25_minilm_qwen3,60,7,4,49,53
q009,entity_lexical,minilm,25,14,0,11,11
q009,entity_lexical,qwen3,25,11,0,14,14
q009,entity_lexical,bm25_minilm,47,28,0,19,19
q009,entity_lexical,minilm_qwen3,41,23,0,18,18
q009,entity_lexical,bm25_minilm_qwen3,61,35,0,26,26
q010,semantic_recommendation,minilm,25,3,14,8,22
q010,semantic_recommendation,qwen3,25,2,7,16,23
q010,semantic_recommendation,bm25_minilm,42,6,26,10,36
q010,semantic_recommendation,minilm_qwen3,36,3,17,16,33
q010,semantic_recommendation,bm25_minilm_qwen3,51,6,28,17,45
q011,attribute,minilm,25,23,2,0,2
q011,attribute,qwen3,25,22,3,0,3
q011,attribute,bm25_minilm,45,42,3,0,3
q011,attribute,minilm_qwen3,34,30,4,0,4
q011,attribute,bm25_minilm_qwen3,51,46,5,0,5
q012,entity_lexical,minilm,25,22,0,3,3
q012,entity_lexical,qwen3,25,22,0,3,3
q012,entity_lexical,bm25_minilm,46,41,0,5,5
q012,entity_lexical,minilm_qwen3,38,35,0,3,3
q012,entity_lexical,bm25_minilm_qwen3,59,54,0,5,5
q013,semantic_recommendation,minilm,25,16,2,7,9
q013,semantic_recommendation,qwen3,25,3,4,18,22
q013,semantic_recommendation,bm25_minilm,46,33,5,8,13
q013,semantic_recommendation,minilm_qwen3,40,16,5,19,24
q013,semantic_recommendation,bm25_minilm_qwen3,61,33,8,20,28
q014,attribute,minilm,25,9,3,13,16
q014,attribute,qwen3,25,9,1,15,16
q014,attribute,bm25_minilm,44,25,4,15,19
q014,attribute,minilm_qwen3,38,15,4,19,23
q014,attribute,bm25_minilm_qwen3,56,30,5,21,26
q015,entity_lexical,minilm,25,21,1,3,4
q015,entity_lexical,qwen3,25,21,1,3,4
q015,entity_lexical,bm25_minilm,44,39,2,3,5
q015,entity_lexical,minilm_qwen3,37,33,1,3,4
q015,entity_lexical,bm25_minilm_qwen3,56,51,2,3,5
q016,semantic_recommendation,minilm,25,11,1,13,14
q016,semantic_recommendation,qwen3,25,10,2,13,15
q016,semantic_recommendation,bm25_minilm,39,25,1,13,14
q016,semantic_recommendation,minilm_qwen3,32,16,2,14,16
q016,semantic_recommendation,bm25_minilm_qwen3,45,29,2,14,16
q017,attribute,minilm,25,20,2,3,5
q017,attribute,qwen3,25,15,4,6,10
q017,attribute,bm25_minilm,42,34,3,5,8
q017,attribute,minilm_qwen3,38,28,4,6,10
q017,attribute,bm25_minilm_qwen3,52,39,5,8,13
q018,entity_lexical,minilm,25,22,1,2,3
q018,entity_lexical,qwen3,25,23,1,1,2
q018,entity_lexical,bm25_minilm,39,36,1,2,3
q018,entity_lexical,minilm_qwen3,42,39,1,2,3
q018,entity_lexical,bm25_minilm_qwen3,55,52,1,2,3
q019,semantic_recommendation,minilm,25,10,6,9,15
q019,semantic_recommendation,qwen3,25,13,4,8,12
q019,semantic_recommendation,bm25_minilm,43,23,9,11,20
q019,semantic_recommendation,minilm_qwen3,36,17,6,13,19
q019,semantic_recommendation,bm25_minilm_qwen3,51,28,9,14,23
q020,attribute,minilm,25,16,4,5,9
q020,attribute,qwen3,25,15,4,6,10
q020,attribute,bm25_minilm,43,26,5,12,17
q020,attribute,minilm_qwen3,33,23,4,6,10
q020,attribute,bm25_minilm_qwen3,51,33,5,13,18
q021,entity_lexical,minilm,25,19,0,6,6
q021,entity_lexical,qwen3,25,19,0,6,6
q021,entity_lexical,bm25_minilm,46,40,0,6,6
q021,entity_lexical,minilm_qwen3,37,29,0,8,8
q021,entity_lexical,bm25_minilm_qwen3,56,48,0,8,8
q022,semantic_recommendation,minilm,25,7,6,12,18
q022,semantic_recommendation,qwen3,25,5,7,13,20
q022,semantic_recommendation,bm25_minilm,45,19,11,15,26
q022,semantic_recommendation,minilm_qwen3,35,8,9,18,27
q022,semantic_recommendation,bm25_minilm_qwen3,53,20,13,20,33
q023,attribute,minilm,25,3,6,16,22
q023,attribute,qwen3,25,7,6,12,18
q023,attribute,bm25_minilm,45,23,6,16,22
q023,attribute,minilm_qwen3,38,9,8,21,29
q023,attribute,bm25_minilm_qwen3,57,28,8,21,29
q024,entity_lexical,minilm,25,22,2,1,3
q024,entity_lexical,qwen3,25,20,2,3,5
q024,entity_lexical,bm25_minilm,44,40,2,2,4
q024,entity_lexical,minilm_qwen3,35,30,2,3,5
q024,entity_lexical,bm25_minilm_qwen3,52,47,2,3,5
q025,semantic_recommendation,minilm,25,5,4,16,20
q025,semantic_recommendation,qwen3,25,2,4,19,23
q025,semantic_recommendation,bm25_minilm,38,12,4,22,26
q025,semantic_recommendation,minilm_qwen3,31,6,4,21,25
q025,semantic_recommendation,bm25_minilm_qwen3,42,12,4,26,30
q026,attribute,minilm,25,15,0,10,10
q026,attribute,qwen3,25,17,0,8,8
q026,attribute,bm25_minilm,40,29,1,10,11
q026,attribute,minilm_qwen3,31,20,0,11,11
q026,attribute,bm25_minilm_qwen3,45,33,1,11,12
q027,entity_lexical,minilm,25,2,4,19,23
q027,entity_lexical,qwen3,25,1,4,20,24
q027,entity_lexical,bm25_minilm,40,5,4,31,35
q027,entity_lexical,minilm_qwen3,35,2,5,28,33
q027,entity_lexical,bm25_minilm_qwen3,49,5,5,39,44
q028,semantic_recommendation,minilm,25,0,3,22,25
q028,semantic_recommendation,qwen3,25,4,8,13,21
q028,semantic_recommendation,bm25_minilm,41,7,6,28,34
q028,semantic_recommendation,minilm_qwen3,40,4,9,27,36
q028,semantic_recommendation,bm25_minilm_qwen3,52,10,10,32,42
q029,attribute,minilm,25,15,4,6,10
q029,attribute,qwen3,25,8,9,8,17
q029,attribute,bm25_minilm,39,23,7,9,16
q029,attribute,minilm_qwen3,37,17,9,11,20
q029,attribute,bm25_minilm_qwen3,48,25,10,13,23
q030,entity_lexical,minilm,25,23,0,2,2
q030,entity_lexical,qwen3,25,22,1,2,3
q030,entity_lexical,bm25_minilm,43,40,0,3,3
q030,entity_lexical,minilm_qwen3,39,36,1,2,3
q030,entity_lexical,bm25_minilm_qwen3,53,49,1,3,4
q031,semantic_recommendation,minilm,25,17,2,6,8
q031,semantic_recommendation,qwen3,25,15,2,8,10
q031,semantic_recommendation,bm25_minilm,39,31,2,6,8
q031,semantic_recommendation,minilm_qwen3,33,21,4,8,12
q031,semantic_recommendation,bm25_minilm_qwen3,47,35,4,8,12
q032,attribute,minilm,25,23,0,2,2
q032,attribute,qwen3,25,19,1,5,6
q032,attribute,bm25_minilm,43,37,2,4,6
q032,attribute,minilm_qwen3,41,34,1,6,7
q032,attribute,bm25_minilm_qwen3,57,47,3,7,10
q033,entity_lexical,minilm,25,12,1,12,13
q033,entity_lexical,qwen3,25,10,2,13,15
q033,entity_lexical,bm25_minilm,41,27,2,12,14
q033,entity_lexical,minilm_qwen3,35,20,2,13,15
q033,entity_lexical,bm25_minilm_qwen3,50,35,2,13,15
q034,semantic_recommendation,minilm,25,14,6,5,11
q034,semantic_recommendation,qwen3,25,7,4,14,18
q034,semantic_recommendation,bm25_minilm,45,31,9,5,14
q034,semantic_recommendation,minilm_qwen3,40,15,7,18,25
q034,semantic_recommendation,bm25_minilm_qwen3,59,31,10,18,28
q035,attribute,minilm,25,18,0,7,7
q035,attribute,qwen3,25,15,0,10,10
q035,attribute,bm25_minilm,36,27,0,9,9
q035,attribute,minilm_qwen3,32,21,0,11,11
q035,attribute,bm25_minilm_qwen3,42,30,0,12,12
q036,entity_lexical,minilm,25,16,2,7,9
q036,entity_lexical,qwen3,25,16,2,7,9
q036,entity_lexical,bm25_minilm,41,32,2,7,9
q036,entity_lexical,minilm_qwen3,40,31,2,7,9
q036,entity_lexical,bm25_minilm_qwen3,55,46,2,7,9
q037,semantic_recommendation,minilm,25,14,0,11,11
q037,semantic_recommendation,qwen3,25,15,0,10,10
q037,semantic_recommendation,bm25_minilm,33,21,0,12,12
q037,semantic_recommendation,minilm_qwen3,30,19,0,11,11
q037,semantic_recommendation,bm25_minilm_qwen3,36,24,0,12,12
q038,attribute,minilm,25,7,1,17,18
q038,attribute,qwen3,25,8,1,16,17
q038,attribute,bm25_minilm,40,20,1,19,20
q038,attribute,minilm_qwen3,32,11,1,20,21
q038,attribute,bm25_minilm_qwen3,47,24,1,22,23
q039,entity_lexical,minilm,25,24,0,1,1
q039,entity_lexical,qwen3,25,24,0,1,1
q039,entity_lexical,bm25_minilm,43,42,0,1,1
q039,entity_lexical,minilm_qwen3,30,29,0,1,1
q039,entity_lexical,bm25_minilm_qwen3,47,46,0,1,1
q040,semantic_recommendation,minilm,25,2,21,2,23
q040,semantic_recommendation,qwen3,25,4,19,2,21
q040,semantic_recommendation,bm25_minilm,49,20,27,2,29
q040,semantic_recommendation,minilm_qwen3,32,5,24,3,27
q040,semantic_recommendation,bm25_minilm_qwen3,55,22,30,3,33
q041,attribute,minilm,25,4,20,1,21
q041,attribute,qwen3,25,4,18,3,21
q041,attribute,bm25_minilm,44,15,27,2,29
q041,attribute,minilm_qwen3,32,6,23,3,26
q041,attribute,bm25_minilm_qwen3,49,17,28,4,32
q042,entity_lexical,minilm,25,20,5,0,5
q042,entity_lexical,qwen3,25,18,7,0,7
q042,entity_lexical,bm25_minilm,42,36,5,1,6
q042,entity_lexical,minilm_qwen3,32,25,7,0,7
q042,entity_lexical,bm25_minilm_qwen3,48,40,7,1,8
q043,semantic_recommendation,minilm,25,1,19,5,24
q043,semantic_recommendation,qwen3,25,1,17,7,24
q043,semantic_recommendation,bm25_minilm,44,8,26,10,36
q043,semantic_recommendation,minilm_qwen3,34,1,25,8,33
q043,semantic_recommendation,bm25_minilm_qwen3,50,8,30,12,42
q044,attribute,minilm,25,0,3,22,25
q044,attribute,qwen3,25,0,3,22,25
q044,attribute,bm25_minilm,48,13,6,29,35
q044,attribute,minilm_qwen3,36,0,5,31,36
q044,attribute,bm25_minilm_qwen3,58,13,7,38,45
q045,entity_lexical,minilm,25,16,0,9,9
q045,entity_lexical,qwen3,25,14,0,11,11
q045,entity_lexical,bm25_minilm,38,26,0,12,12
q045,entity_lexical,minilm_qwen3,37,25,0,12,12
q045,entity_lexical,bm25_minilm_qwen3,45,33,0,12,12
q046,semantic_recommendation,minilm,25,0,0,25,25
q046,semantic_recommendation,qwen3,25,0,0,25,25
q046,semantic_recommendation,bm25_minilm,44,4,3,37,40
q046,semantic_recommendation,minilm_qwen3,40,0,0,40,40
q046,semantic_recommendation,bm25_minilm_qwen3,57,4,3,50,53
q047,attribute,minilm,25,0,1,24,25
q047,attribute,qwen3,25,0,0,25,25
q047,attribute,bm25_minilm,42,4,1,37,38
q047,attribute,minilm_qwen3,35,0,1,34,35
q047,attribute,bm25_minilm_qwen3,48,4,1,43,44
q048,entity_lexical,minilm,25,2,2,21,23
q048,entity_lexical,qwen3,25,0,1,24,25
q048,entity_lexical,bm25_minilm,38,7,3,28,31
q048,entity_lexical,minilm_qwen3,34,2,2,30,32
q048,entity_lexical,bm25_minilm_qwen3,44,7,3,34,37
q049,semantic_recommendation,minilm,25,8,5,12,17
q049,semantic_recommendation,qwen3,25,8,3,14,17
q049,semantic_recommendation,bm25_minilm,37,18,6,13,19
q049,semantic_recommendation,minilm_qwen3,34,12,5,17,22
q049,semantic_recommendation,bm25_minilm_qwen3,45,21,6,18,24
q050,attribute,minilm,25,23,0,2,2
q050,attribute,qwen3,25,23,0,2,2
